Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
19/03/2012,623.12,637.27,621.241,633.98,4341200,0,1,312.5247339,319.6216414,311.5823248,317.9715477,4341200
20/03/2012,630.92,636.06,627.27,633.49,3077900,0,1,316.4368101,319.014768,314.6061591,317.7257891,3077900
21/03/2012,634.61,647.39,632.51,639.98,4934200,0,1,318.2875231,324.6973095,317.2342718,320.9808371,4934200
22/03/2012,638.5,648.8,631,646.05,4815500,0,1,320.2385457,325.4044925,316.476934,324.0252349,4815500
23/03/2012,646.6,648.5,640.9,642.59,3876500,0,1,324.3010864,325.254028,321.4422615,322.289878,3876500
26/03/2012,645,649.49,639.54,649.33,3634700,0,1,323.4986092,325.7505608,320.7601559,325.6703131,3634700
27/03/2012,647.03,653.5,644.8,647.02,4010300,0,1,324.5167521,327.7617692,323.3982996,324.5117366,4010300
28/03/2012,652.03,658.589,651.08,655.76,5072700,0,1,327.0244933,330.3141481,326.5480225,328.8952682,5072700
29/03/2012,653.44,656.59,644.3,648.41,3844700,0,1,327.7316763,329.3115532,323.1475255,325.2088887,3844700
30/03/2012,651.75,653.49,641,641.24,4616700,0,1,326.8840598,327.7567537,321.4924163,321.6127879,4616700
02/04/2012,640.77,647.5,634.84,646.92,4563800,0,1,321.3770602,324.7524798,318.4028792,324.4615818,4563800
03/04/2012,645.41,647.95,638.64,642.62,4085700,0,1,323.704244,324.9781765,320.3087625,322.3049244,4085700
04/04/2012,638.45,639,631.1,635.15,3251900,0,1,320.2134683,320.4893198,316.5270888,318.5583591,3251900
05/04/2012,632.24,636.43,628.57,632.32,4632700,0,1,317.0988538,319.2003409,315.2581718,317.1389776,4632700
09/04/2012,628.48,635.33,625.29,630.84,4361000,0,1,315.2130324,318.6486378,313.6130936,316.3966863,4361000
10/04/2012,633.52,634.5,624.55,626.86,4959000,0,1,317.7408355,318.2323528,313.2419479,314.4005243,4959000
11/04/2012,633.97,636,631.3,635.96,4393600,0,1,317.9665322,318.9846751,316.6273984,318.9646132,4393600
12/04/2012,642.35,653.14,640.26,651.01,11501600,0,1,322.1695064,327.5812118,321.1212706,326.5129141,11501600
13/04/2012,647.55,648.99,623.54,624.6,16302200,0,1,324.7775572,325.4997867,312.7353842,313.2670253,16302200
16/04/2012,623,623.81,601.66,606.07,11372800,0,1,312.4645481,312.8708022,301.7615089,303.9733366,11372800
17/04/2012,608.56,617.69,607.01,609.57,6041700,0,1,305.2221917,309.801327,304.4447919,305.7287554,6041700
18/04/2012,608.05,612.8,602.81,607.45,5333600,0,1,304.9664021,307.3487562,302.3382893,304.6654731,5333600
19/04/2012,605.69,616.26,599,599.3,6582600,0,1,303.7827482,309.084113,300.4273906,300.577855,6582600
20/04/2012,604.25,608.85,595.83,596.06,6110600,0,1,303.0605188,305.3676407,298.8374827,298.9528388,6110600
23/04/2012,592.9,598.45,590.2,597.6,4391200,0,1,297.3679464,300.151539,296.0137661,299.7252231,4391200
24/04/2012,598.24,606.63,597.32,601.27,3854300,0,1,300.0462139,304.2542036,299.5847895,301.5659051,3854300
25/04/2012,604,611.35,602.88,609.72,3638500,0,1,302.9351317,306.6215112,302.3733977,305.8039876,3638500
26/04/2012,610.91,618,609.7,615.47,4180800,0,1,306.40083,309.956807,305.7939566,308.6878899,4180800
27/04/2012,615.02,616.74,610.6,614.98,3269500,0,1,308.4621932,309.3248562,306.2453501,308.4421313,3269500
30/04/2012,612.99,616.082,600.61,604.85,4809700,0,1,307.4440503,308.9948375,301.2348832,303.3614477,4809700
01/05/2012,603.79,611.6,600.19,604.43,4000500,0,1,302.8298066,306.7468983,301.024233,303.1507975,4000500
02/05/2012,601.2,608.11,600.61,607.26,3219700,0,1,301.5307967,304.996495,301.2348832,304.570179,3219700
03/05/2012,609.62,614.83,608.95,611.02,3732200,0,1,305.7538328,308.3668991,305.4177955,306.4560003,3732200
04/05/2012,605.92,607.8885,596.81,596.97,4410300,0,1,303.8981043,304.885402,299.3289999,299.4092477,4410300
07/05/2012,595,610.57,595,607.55,3985000,0,1,298.4211976,306.2303036,298.4211976,304.715628,3985000
08/05/2012,605.53,616.9,600.7,612.79,5349200,0,1,303.7025005,309.4051039,301.2800226,307.3437407,5349200
09/05/2012,606.82,616.38,601.81,609.15,4652900,0,1,304.3494977,309.1442988,301.8367411,305.5181051,4652900
10/05/2012,612.96,616.19,610.23,613.66,3068700,0,1,307.4290039,309.0490047,306.0597772,307.7800876,3068700
11/05/2012,610.35,614.55,604.77,605.23,4194600,0,1,306.119963,308.2264656,303.3213239,303.5520361,4194600
14/05/2012,600.78,608.5,600.58,604,3645100,0,1,301.3201464,305.1920988,301.2198368,302.9351317,3645100
15/05/2012,605.35,615,603.75,611.11,4199900,0,1,303.6122218,308.4521623,302.8097447,306.5011397,4199900
16/05/2012,617.96,630.1,615.94,628.93,9660500,0,1,309.936745,316.0255406,308.9236176,315.4387291,9660500
17/05/2012,633.83,637.85,621.23,623.05,6700800,0,1,317.8963155,319.9125394,311.5768078,312.4896255,6700800
18/05/2012,625.1,632.42,596.7,600.4,11935000,0,1,313.5177994,317.1891325,299.2738296,301.1295581,11935000
21/05/2012,600.51,615.694,600,614.11,6144600,0,1,301.1847284,308.8002367,300.9289388,308.0057843,6144600
22/05/2012,613.44,613.81,596,600.8,6097600,0,1,307.669747,307.8553199,298.9227459,301.3301774,6097600
23/05/2012,601.65,609.6,597.12,609.46,6349800,0,1,301.7564934,305.7438018,299.4844799,305.6735851,6349800
24/05/2012,609.16,611.92,598.868,603.66,3778800,0,1,305.5231206,306.9073937,300.3611862,302.7646053,3778800
25/05/2012,601,601.73,588.28,591.53,7156600,0,1,301.430487,301.7966172,295.0507935,296.6808253,7156600
29/05/2012,595.81,599.13,588.32,594.34,5206100,0,1,298.8274517,300.4925918,295.0708555,298.0901758,5206100
30/05/2012,588.16,591.9,583.53,588.23,3809500,0,1,294.9906077,296.8663981,292.6684394,295.0257161,3809500
31/05/2012,588.72,590,579,580.86,5930600,0,1,295.2714748,295.9134565,290.3964259,291.3293057,5930600
01/06/2012,571.79,572.65,568.35,570.98,6109600,0,1,286.7802632,287.2115947,285.0549373,286.3740091,6109600
04/06/2012,570.22,580.49,570.01,578.59,4860500,0,1,285.9928325,291.1437328,285.8875073,290.1907912,4860500
05/06/2012,575.45,578.13,566.47,570.41,4675100,0,1,288.6159297,289.960079,284.1120266,286.0881266,4675100
06/06/2012,576.48,581.97,573.61,580.57,4187400,0,1,289.1325244,291.8860242,287.693081,291.1838567,4187400
07/06/2012,587.6,587.89,577.25,578.23,3513400,0,1,294.7097407,294.8551897,289.5187165,290.0102338,3513400
08/06/2012,575.85,581,574.58,580.45,2817900,0,1,288.816549,291.3995224,288.1795828,291.1236709,2817900
11/06/2012,584.21,585.3175,566.69,568.5,5316800,0,1,293.0094922,293.5649569,284.2223672,285.1301695,5316800
12/06/2012,569.77,570.3,558.58,565.1,6441900,0,1,285.7671358,286.0329563,280.1548111,283.4249055,6441900
13/06/2012,561.72,567,558.68,561.09,3904400,0,1,281.7296725,284.3778472,280.2049659,281.4136971,3904400
14/06/2012,561.3,565.07,556.5201,559.05,4685100,0,1,281.5190223,283.4098591,279.1216719,280.3905387,4685100
15/06/2012,560.34,564.52,557.09,564.51,5996300,0,1,281.037536,283.1340076,279.4075042,283.1289921,5996300
18/06/2012,562.62,574.21,559.25,570.85,4988800,0,1,282.1810659,287.9940099,280.4908484,286.3088079,4988800
19/06/2012,573.59,584.28,573.1201,581.53,4148200,0,1,287.68305,293.0446006,287.4473725,291.665343,4148200
20/06/2012,579.81,580,573.51,577.51,4688700,0,1,290.80268,290.8979742,287.6429262,289.6491191,4688700
